ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,ISO
48,Abdelhak Aatakni,M,24.0,,64.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,,MAR
673,Abdel Hak Achik,M,29.0,165.0,54.0,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze,MAR
674,Mohamed Abdelhak Achik,M,23.0,174.0,57.0,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,MAR
674,Mohamed Abdelhak Achik,M,27.0,174.0,57.0,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze,MAR
674,Mohamed Abdelhak Achik,M,31.0,174.0,57.0,Morocco,MAR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,,MAR
1329,Lahcen Ahidous,M,19.0,188.0,84.0,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Middleweight,,MAR
1329,Lahcen Ahidous,M,23.0,188.0,84.0,Morocco,MAR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,,MAR
1517,Hamid Ait Bighrade,M,28.0,164.0,54.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,,MAR
1520,Miloud Ait Hammi,M,26.0,178.0,69.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Welterweight,,MAR
3283,Mohamed Amanissi,M,27.0,,107.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Super-Heavyweight,,MAR
5092,Mohamed Al-Arjaoui,M,21.0,185.0,91.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,,MAR
5092,Mohamed Al-Arjaoui,M,25.0,185.0,91.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,,MAR
5092,Mohamed Al-Arjaoui,M,29.0,185.0,91.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,,MAR
5837,Mohamed Atmani,M,23.0,171.0,66.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Welterweight,,MAR
6330,Tahar Aziz,M,17.0,165.0,48.0,Morocco,MAR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Flyweight,,MAR
7900,Ahmed Al-Barki,M,32.0,,81.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,,MAR
9592,Abdel Kader Belghiti,M,,162.0,51.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Flyweight,,MAR
9878,Fatah Ben Farj,M,,172.0,63.0,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Light-Welterweight,,MAR
9902,Moustafa Ben Lahbib,M,,175.0,74.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Middleweight,,MAR
10583,Hamid Berhili,M,28.0,,51.0,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Flyweight,,MAR
10583,Hamid Berhili,M,32.0,,51.0,Morocco,MAR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,,MAR
13905,Ahmed Bouazza,M,,163.0,53.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Bantamweight,,MAR
13910,Mohamed Boubekeur,M,,170.0,63.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Welterweight,,MAR
13919,Mohamed Bouchara,M,,175.0,67.0,Morocco,MAR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Welterweight,,MAR
13953,Redouane Bouchtouk,M,27.0,165.0,48.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,,MAR
13953,Redouane Bouchtouk,M,31.0,165.0,48.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Flyweight,,MAR
25396,Abdelali Darra,M,22.0,,49.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,,MAR
32007,Rachid El-Haddak,M,30.0,198.0,91.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,,MAR
33584,Zohra Ez Zahraoui,F,32.0,165.0,51.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,,MAR
33701,Mustapha Fadli,M,,168.0,60.0,Morocco,MAR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,,MAR
34227,Abdel Latif Fatihi,M,25.0,188.0,81.0,Morocco,MAR,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Heavyweight,,MAR
38350,Abdel Kader Gangani,M,,170.0,58.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,,MAR
44603,Badr-Eddine Haddioui,M,23.0,,60.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,,MAR
45385,Mohamed Hamout,M,22.0,167.0,56.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,,MAR
46492,Mohamed Hassane,M,,164.0,55.0,Morocco,MAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,,MAR
48639,Boujemaa Hilmann,M,,161.0,51.0,Morocco,MAR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Flyweight,,MAR
59099,Al-Mehdi Al-Khalsi,M,22.0,,69.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,,MAR
